slug,nom_reel,code_postal,code_insee,pop2012,surface,long_deg,lat_deg
sainte-croix-01,Sainte-Croix,01120,1342,500,10.62,5.05195,45.8942
blyes,Blyes,01150,1047,900,9.32,5.25,45.85
conzieu,Conzieu,01300,1117,100,7.2,5.6,45.7333
nievroz,Niévroz,01120,1276,1500,10.46,5.06667,45.8333
nurieux-volognat,Nurieux-Volognat,01460,1267,1100,19.34,5.52667,46.1856
ambleon,Ambléon,01300,1006,100,5.88,5.6,45.75
saint-maurice-de-gourdans,Saint-Maurice-de-Gourdans,01800,1378,2400,25.39,5.2,45.8167
chezery-forens,Chézery-Forens,01200,1104,400,46.57,5.88333,46.2167
sault-brenaz,Sault-Brénaz,01150,1396,1100,5.61,5.41667,45.85
murs-et-gelignieux,Murs-et-Gélignieux,01300,1268,200,6.46,5.66667,45.6333
petit-abergement,Le Petit-Abergement,01260,1292,100,26.95,5.65,46.0333
cormoz,Cormoz,01560,1124,500,19.56,5.23333,46.45
saint-martin-de-bavel,Saint-Martin-de-Bavel,01510,1372,500,8.5,5.68333,45.85
saint-trivier-de-courtes,Saint-Trivier-de-Courtes,01560,1388,1000,16.53,5.08333,46.4667
boyeux-saint-jerome,Boyeux-Saint-Jérôme,01640,1056,300,16.94,5.46667,46.0333
chateau-gaillard,Château-Gaillard,01500,1089,1700,16.06,5.3,45.9667
premeyzel,Prémeyzel,01300,1310,300,7.63,5.65,45.6833
arandas,Arandas,01230,1013,200,14.1,5.48333,45.9
chatenay-01,Châtenay,01320,1090,300,14.95,5.2,46.0333
innimond,Innimond,01680,1190,100,13.44,5.56667,45.7833
boz,Boz,01190,1057,500,7.31,4.9,46.4
briord,Briord,01470,1064,900,12.29,5.46667,45.7833
reyrieux,Reyrieux,01600,1322,4000,15.7,4.81667,45.9333
matafelon-granges,Matafelon-Granges,01580,1240,700,21.54,5.56667,46.2667
drom,Drom,01250,1150,200,7.78,5.36667,46.2167
chatillon-en-michaille,Châtillon-en-Michaille,01200,1091,3100,37.62,5.78333,46.1333
polliat,Polliat,01310,1301,2400,20.07,5.13333,46.25
vesancy,Vesancy,01170,1436,500,10.7,6.08333,46.35
massieux,Massieux,01600,1238,2400,3.1,4.83333,45.9167
saint-cyr-sur-menthon,Saint-Cyr-sur-Menthon,01380,1343,1600,16.93,4.98333,46.2667
serrieres-sur-ain,Serrières-sur-Ain,01450,1404,100,8.18,5.45,46.15
nivollet-montgriffon,Nivollet-Montgriffon,01230,1277,100,8.24,5.43333,45.9833
izernore,Izernore,01580,1192,2200,20.86,5.55,46.2167
saint-nizier-le-desert,Saint-Nizier-le-Désert,01320,1381,900,24.96,5.15,46.05
guereins,Guéreins,01090,1183,1200,4.51,4.78333,46.1
illiat,Illiat,01140,1188,500,20.37,4.88333,46.1833
trancliere,La Tranclière,01160,1425,300,14.75,5.26667,46.1167
saint-didier-de-formans,Saint-Didier-de-Formans,01600,1347,1800,6.53,4.78333,45.95
merignat,Mérignat,01450,1242,100,3.17,5.43333,46.0667
saint-eloi-01,Saint-Éloi,01800,1349,400,14.26,5.15,45.9333
chapelle-du-chatelard,La Chapelle-du-Châtelard,01240,1085,300,13.37,5.03333,46.0667
saint-jean-de-niost,Saint-Jean-de-Niost,01800,1361,1400,14.19,5.21667,45.8333
savigneux-01,Savigneux,01480,1398,1200,14.75,4.85,46.0
nattages,Nattages,01300,1271,500,10.33,5.76667,45.7333
saint-benoît-01,Saint-Benoît,01300,1338,700,21.65,5.58333,45.7
douvres,Douvres,01500,1149,900,5.26,5.36667,45.9833
francheleins,Francheleins,01090,1165,1200,13.56,4.8,46.0667
dortan,Dortan,01590,1148,2100,18.11,5.66667,46.3167
saint-germain-les-paroisses,Saint-Germain-les-Paroisses,01300,1358,400,16.27,5.61667,45.7667
miribel-01,Miribel,01700,1249,9000,24.49,4.95306,45.8245
lancrans,Lancrans,01200,1205,1000,9.66,5.83333,46.1333
echenevex,Échenevex,01170,1153,1500,16.44,6.03333,46.3167
saint-jean-sur-veyle,Saint-Jean-sur-Veyle,01290,1365,1100,11.21,4.91667,46.25
billiat,Billiat,01200,1044,400,13.7,5.78333,46.0667
abergement-de-varey,L'Abergement-de-Varey,01640,1002,200,9.15,5.41667,46.0
villeneuve-01,Villeneuve,01480,1446,1400,26.79,4.83667,46.0212
villars-les-dombes,Villars-les-Dombes,01330,1443,4300,24.65,5.01667,46.0
thezillieu,Thézillieu,01110,1417,300,26.25,5.6,45.8833
saint-etienne-sur-reyssouze,Saint-Étienne-sur-Reyssouze,01190,1352,500,13.82,5.0,46.4
souclin,Souclin,01150,1411,300,13.19,5.41667,45.8667
saint-just-01,Saint-Just,01250,1369,900,3.38,5.28,46.1903
civrieux,Civrieux,01390,1105,1300,19.76,4.88333,45.9167
argis,Argis,01230,1017,400,7.84,5.48333,45.9333
talissieu,Talissieu,01510,1415,500,4.8,5.71667,45.8667
birieux,Birieux,01330,1045,200,15.83,5.03333,45.95
saint-julien-sur-veyle,Saint-Julien-sur-Veyle,01540,1368,700,9.84,4.95,46.2
thoiry-01,Thoiry,01710,1419,4900,28.93,5.97973,46.2364
laiz,Laiz,01290,1203,1100,10.31,4.88333,46.25
cressin-rochefort,Cressin-Rochefort,01350,1133,400,7.93,5.76667,45.7667
saint-champ,Saint-Champ,01300,1341,100,5.14,5.73333,45.7833
saint-georges-sur-renon,Saint-Georges-sur-Renon,01400,1356,200,5.66,5.03333,46.1
lantenay-01,Lantenay,01430,1206,300,6.59,5.53333,46.05
vernoux,Vernoux,01560,1433,200,10.2,5.11667,46.4833
cormaranche-en-bugey,Cormaranche-en-Bugey,01110,1122,900,18.92,5.6,45.95
sainte-euphemie,Sainte-Euphémie,01600,1353,1400,4.61,4.78333,45.9667
beaupont,Beaupont,01270,1029,600,14.07,5.26667,46.4
brens-01,Brens,01300,1061,1000,6.9,5.69473,45.7187
ramasse,Ramasse,01250,1317,300,9.86,5.35,46.2
divonne-les-bains,Divonne-les-Bains,01220,1143,7800,33.88,6.13333,46.3667
leaz,Léaz,01200,1209,500,11.4,5.88333,46.1
villes,Villes,01200,1448,400,9.21,5.78333,46.0833
saint-julien-sur-reyssouze,Saint-Julien-sur-Reyssouze,01560,1367,600,7.52,5.11667,46.4
groslee,Groslée,01680,1182,400,7.27,5.56667,45.7167
vandeins,Vandeins,01660,1429,600,9.4,5.08333,46.2167
verjon,Verjon,01270,1432,300,5.11,5.35,46.35
saint-andre-sur-vieux-jonc,Saint-André-sur-Vieux-Jonc,01240,1336,1000,24.22,5.06667,46.15
saint-andre-d-huiriat,Saint-André-d'Huiriat,01290,1334,500,9.0,4.91667,46.2167
grilly,Grilly,01220,1180,700,7.5,6.11667,46.3333
cessy,Cessy,01170,1071,3700,6.39,6.06667,46.3167
ordonnaz,Ordonnaz,01510,1280,100,14.88,5.53333,45.8333
vescours,Vescours,01560,1437,200,12.48,5.03333,46.4667
meillonnas,Meillonnas,01370,1241,1300,17.74,5.35,46.25
geovreisset,Géovreisset,01100,1171,900,3.31,5.6,46.25
ceyzerieu,Ceyzérieu,01350,1073,900,19.72,5.73333,45.8333
beard-geovreissiat,Béard-Géovreissiat,01460,1170,900,4.69,5.56667,46.2
burbanche,La Burbanche,01510,1066,100,10.82,5.56667,45.85
perrex,Perrex,01540,1291,800,11.07,4.98333,46.2333
villemotier,Villemotier,01270,1445,600,13.86,5.31667,46.35
jasseron,Jasseron,01250,1195,1400,18.93,5.33333,46.2167
corveissiat,Corveissiat,01250,1125,600,22.69,5.48333,46.2333
journans,Journans,01250,1197,300,2.43,5.33333,46.15
sermoyer,Sermoyer,01190,1402,700,16.7,4.98333,46.5
charix,Charix,01130,1087,300,18.27,5.68333,46.1833
arbignieu,Arbignieu,01300,1015,500,13.07,5.65,45.7333
leyssard,Leyssard,01450,1214,200,9.13,5.46667,46.1667
saint-jean-de-thurigneux,Saint-Jean-de-Thurigneux,01390,1362,600,16.0,4.88333,45.95
frans,Frans,01480,1166,2000,7.98,4.78333,45.9833
tenay,Tenay,01230,1416,1100,13.12,5.5,45.9167
bage-la-ville,Bâgé-la-Ville,01380,1025,2900,39.68,4.95,46.3167
montmerle-sur-saone,Montmerle-sur-Saône,01090,1263,3800,4.16,4.76667,46.0833
courmangoux,Courmangoux,01370,1127,500,14.82,5.36667,46.3333
baneins,Baneins,01990,1028,600,8.91,4.9,46.1167
lagnieu,Lagnieu,01150,1202,6700,27.25,5.35,45.9
attignat,Attignat,01340,1024,2700,18.69,5.16667,46.2833
saint-andre-de-bage,Saint-André-de-Bâgé,01380,1332,600,2.7,4.91667,46.3
pont-de-vaux,Pont-de-Vaux,01190,1305,2200,7.54,4.93333,46.4333
amberieu-en-bugey,Ambérieu-en-Bugey,01500,1004,12800,24.6,5.35,45.95
peyzieux-sur-saone,Peyzieux-sur-Saône,01140,1295,400,8.66,4.81667,46.1167
crozet-01,Crozet,01170,1135,1800,27.47,6.01251,46.2806
seyssel-01,Seyssel,01420,1407,900,2.4,5.83194,45.9597
beynost,Beynost,01700,1043,4300,10.64,5.0,45.8333
versonnex-01,Versonnex,01210,1435,2100,5.89,6.09723,46.3023
saint-laurent-sur-saone,Saint-Laurent-sur-Saône,01620,1370,1700,0.53,4.83333,46.3
artemare,Artemare,01510,1022,1100,3.75,5.7,45.8667
montracol,Montracol,01310,1264,900,14.56,5.11667,46.1833
parves,Parves,01300,1286,300,5.53,5.75,45.75
pugieu,Pugieu,01510,1316,100,4.85,5.65,45.8167
virieu-le-grand,Virieu-le-Grand,01510,1452,1100,12.55,5.65,45.85
saint-remy-01,Saint-Rémy,01310,1385,800,7.38,5.16667,46.1833
