slug,nom_reel,code_postal,code_insee,pop2012,surface,long_deg,lat_deg
ruffey-les-beaune,Ruffey-lès-Beaune,21200,21534,700,15.44,4.91667,47.0167
saint-sauveur-21,Saint-Sauveur,21270,21571,200,9.38,5.41667,47.3667
champeau-en-morvan,Champeau-en-Morvan,21210,21139,200,33.95,4.14417,47.2764
marliens,Marliens,21110,21388,400,4.35,5.18333,47.2167
vitteaux,Vitteaux,21350,21710,1100,20.7,4.53333,47.4
bissey-la-pierre,Bissey-la-Pierre,21330,21078,100,8.44,4.43333,47.85
auxant,Auxant,21360,21036,100,5.56,4.61667,47.1167
maxilly-sur-saone,Maxilly-sur-Saône,21270,21398,300,7.87,5.43333,47.3333
saulieu,Saulieu,21210,21584,2600,32.03,4.23333,47.2667
arrans,Arrans,21500,21025,100,10.52,4.31667,47.7
bretigny-21,Bretigny,21490,21107,900,6.84,5.1,47.4
longvic,Longvic,21600,21355,9400,10.56,5.06667,47.2833
mosson,Mosson,21400,21444,100,7.41,4.63333,47.9167
essarois,Essarois,21290,21250,100,18.25,4.76667,47.75
chamblanc,Chamblanc,21250,21131,500,10.21,5.15,47.0167
saint-philibert-21,Saint-Philibert,21220,21565,400,4.72,5.01667,47.2
varois-et-chaignot,Varois-et-Chaignot,21490,21657,2000,10.1,5.11667,47.35
bard-le-regulier,Bard-le-Régulier,21430,21046,100,9.1,4.31667,47.1333
rouvres-sous-meilly,Rouvres-sous-Meilly,21320,21533,100,4.43,4.58333,47.2167
villeferry,Villeferry,21350,21694,0,3.3,4.51667,47.45
longeault,Longeault,21110,21352,600,1.24,5.25,47.2167
montmain-21,Montmain,21250,21436,100,9.07,5.06445,47.0289
selongey,Selongey,21260,21599,2300,46.42,5.16667,47.5833
champ-d-oiseau,Champ-d'Oiseau,21500,21137,100,4.83,4.35,47.55
asnieres-en-montagne,Asnières-en-Montagne,21500,21026,200,28.47,4.28333,47.7167
pommard,Pommard,21630,21492,500,10.05,4.78333,47.0167
collonges-les-bevy,Collonges-lès-Bévy,21220,21182,100,5.39,4.85,47.1667
saint-germain-le-rocheux,Saint-Germain-le-Rocheux,21510,21549,100,7.66,4.66667,47.75
chatelet-21,Châtelet,21250,21344,200,3.64,5.15,47.05
goulles-21,Goulles,21520,21303,0,8.93,4.9,47.8833
bligny-sur-ouche,Bligny-sur-Ouche,21360,21087,800,27.99,4.66667,47.1
etormay,Étormay,21450,21257,100,12.6,4.58333,47.6
mauvilly,Mauvilly,21510,21396,100,15.31,4.7,47.7
poiseul-la-grange,Poiseul-la-Grange,21440,21489,100,22.89,4.8,47.5667
bussieres-21,Bussières,21580,21119,0,6.31,4.96528,47.6637
ampilly-le-sec,Ampilly-le-Sec,21400,21012,400,24.4,4.51667,47.8
gemeaux,Gemeaux,21120,21290,900,19.34,5.13333,47.4833
pellerey,Pellerey,21440,21479,100,12.44,4.78333,47.5
champignolles-21,Champignolles,21230,21140,100,6.34,4.56667,47.05
hengoat,Hengoat,22450,22078,200,6.19,-3.2,48.75
saint-fiacre-22,Saint-Fiacre,22720,22289,200,9.7,-3.06667,48.4667
gouarec,Gouarec,22570,22064,900,6.41,-3.18333,48.2167
plouec-du-trieux,Plouëc-du-Trieux,22260,22212,1100,18.27,2.80806,48.6739
kermaria-sulard,Kermaria-Sulard,22450,22090,1000,9.02,-3.36667,48.7667
caulnes,Caulnes,22350,22032,2300,31.36,-2.15,48.2833
trebedan,Trébédan,22980,22342,400,10.97,-2.16667,48.4
gommenec-h,Gommenec'h,22290,22063,500,11.83,-3.05,48.65
ploufragan,Ploufragan,22440,22215,11000,27.06,-2.78333,48.4833
laniscat,Laniscat,22570,22107,800,24.21,-3.11667,48.2333
trezeny,Trézény,22450,22381,300,3.25,-3.36667,48.75
lanloup,Lanloup,22580,22109,300,2.45,-2.96667,48.7167
tredarzec,Trédarzec,22220,22347,1100,11.68,-3.2,48.7833
perret,Perret,22570,22167,200,12.22,-3.15,48.1833
quemperven,Quemperven,22450,22257,400,7.69,-3.31667,48.7333
frehel,Fréhel,22240,22179,1600,18.91,1.63389,48.6281
quevert,Quévert,22100,22259,3500,12.48,-2.08333,48.4667
noyal,Noyal,22400,22160,800,6.8,-2.48333,48.45
plouguiel,Plouguiel,22220,22221,1900,19.07,-3.23333,48.8
merdrignac,Merdrignac,22230,22147,2900,57.12,-2.41667,48.2
quemper-guezennec,Quemper-Guézennec,22260,22256,1100,23.08,-3.1,48.7
megrit,Mégrit,22270,22145,700,20.63,-2.25,48.3667
pleboulle,Pléboulle,22550,22174,700,14.1,-2.33333,48.6167
perros-guirec,Perros-Guirec,22700,22168,7300,14.16,-3.45,48.8167
langrolay-sur-rance,Langrolay-sur-Rance,22490,22103,800,5.28,1.9975,48.5542
moustoir,Le Moustoir,22340,22157,600,14.85,-3.5,48.2667
loc-envel,Loc-Envel,22810,22129,100,3.36,-3.4,48.5167
mellionnec,Mellionnec,22110,22146,400,24.22,-3.3,48.1667
plorec-sur-arguenon,Plorec-sur-Arguenon,22130,22205,400,13.65,-2.31667,48.4833
belle-isle-en-terre,Belle-Isle-en-Terre,22810,22005,1100,14.11,-3.4,48.55
meaugon,La Méaugon,22440,22144,1300,6.78,-2.83333,48.5
lanrodec,Lanrodec,22170,22116,1100,31.92,-3.03333,48.5167
callac,Callac,22160,22025,2400,33.03,-3.42667,48.405
coetlogon,Coëtlogon,22210,22043,200,16.35,-2.53333,48.1333
glomel,Glomel,22110,22061,1400,79.93,-3.4,48.2167
plerneuf,Plerneuf,22170,22188,1000,8.3,-2.88333,48.5167
plemet,Plémet,22210,22183,2900,41.0,-2.6,48.1833
plougras,Plougras,22780,22217,500,26.48,-3.56667,48.5167
kermoroc-h,Kermoroc'h,22140,22091,400,6.16,-3.2,48.6167
pleven,Pléven,22130,22200,600,9.73,-2.31667,48.4833
saint-michel-en-greve,Saint-Michel-en-Grève,22300,22319,500,4.69,-3.56667,48.6833
roche-derrien,La Roche-Derrien,22450,22264,1100,1.84,-3.26667,48.75
tregastel,Trégastel,22730,22353,2400,7.0,2.48639,48.817
lanvollon,Lanvollon,22290,22121,1700,5.01,-2.98333,48.6333
etables-sur-mer,Étables-sur-Mer,22680,22055,3000,9.38,1.16472,48.6264
languenan,Languenan,22130,22105,1000,15.95,-2.13333,48.5167
saint-alban-22,Saint-Alban,22400,22273,1900,30.43,-2.55,48.5667
mousteru,Moustéru,22200,22156,700,14.28,-3.23333,48.5167
landehen,Landéhen,22400,22098,1300,11.8,-2.53333,48.4333
landebia,Landébia,22130,22096,500,3.55,-2.33333,48.5167
binic,Binic,22520,22007,3500,5.96,-2.83333,48.6
bringolo,Bringolo,22170,22019,400,9.38,-3.0,48.5833
bourseul,Bourseul,22130,22014,1000,22.23,-2.26667,48.4833
quintenic,Quintenic,22400,22261,300,7.5,-2.43333,48.5167
saint-gildas,Saint-Gildas,22800,22291,300,15.54,-3.0,48.4167
ruca,Ruca,22550,22268,500,12.13,-2.33333,48.5667
hingle,Le Hinglé,22100,22082,800,3.37,-2.06667,48.3833
pleudihen-sur-rance,Pleudihen-sur-Rance,22690,22197,2800,24.55,0.0480566,48.5109
plounevez-quintin,Plounévez-Quintin,22110,22229,1100,42.89,-3.23333,48.2833
paimpol,Paimpol,22500,22162,7800,23.61,-3.05,48.7667
pluduno,Pluduno,22130,22237,2000,28.32,-2.28333,48.5333
lantic,Lantic,22410,22117,1400,15.81,-2.88333,48.6
runan,Runan,22260,22269,300,5.12,-3.2,48.7
cambout,Le Cambout,22210,22027,500,18.02,-2.61667,48.0667
meslin,Meslin,22400,22151,900,13.92,-2.56667,48.45
andel,Andel,22400,22002,1100,12.2,-2.56667,48.5
kerien,Kerien,22480,22088,300,21.88,-3.21667,48.3833
saint-connan,Saint-Connan,22480,22284,300,13.54,-3.06667,48.4167
mael-carhaix,Maël-Carhaix,22340,22137,1600,36.57,-3.41667,48.2833
saint-jouan-de-l-isle,Saint-Jouan-de-l'Isle,22350,22305,400,8.09,-2.16667,48.2667
loudeac,Loudéac,22600,22136,9700,80.24,-2.75,48.1667
carnoet,Carnoët,22160,22031,800,42.06,-3.51667,48.3667
lanleff,Lanleff,22290,22108,100,2.16,-3.05,48.7
saint-brieuc,Saint-Brieuc,22000,22278,45900,21.88,-2.78333,48.5167
plouzelambre,Plouzélambre,22420,22235,200,7.84,-3.53333,48.65
yvignac-la-tour,Yvignac-la-Tour,22350,22391,1200,35.39,-2.18333,48.35
ploumagoar,Ploumagoar,22970,22225,5000,32.07,-3.13333,48.55
gomene,Gomené,22230,22062,600,25.37,1.51278,48.1739
pleslin-trigavou,Pleslin-Trigavou,22490,22190,3500,21.8,1.94528,48.535
saint-etienne-du-gue-de-l-isle,Saint-Étienne-du-Gué-de-l'Isle,22210,22288,400,14.91,-2.65,48.1
plessala,Plessala,22330,22191,1900,51.45,-2.63333,48.2833
guingamp,Guingamp,22200,22070,7500,3.41,-3.15,48.55
tremorel,Trémorel,22230,22371,1100,33.76,-2.3,48.2
lancieux,Lancieux,22770,22094,1400,6.69,-2.15,48.6167
plurien,Plurien,22240,22242,1400,21.65,-2.4,48.6333
pordic,Pordic,22590,22251,5700,28.94,-2.81667,48.5833
plouagat,Plouagat,22170,22206,2400,31.98,-3.0,48.5333
goudelin,Goudelin,22290,22065,1600,22.98,-3.01667,48.6
saint-rieul,Saint-Rieul,22270,22326,400,6.37,-2.41667,48.45
treguidel,Tréguidel,22290,22361,600,6.56,-2.93333,48.6
tredias,Trédias,22250,22348,500,11.01,-2.23333,48.35
pleumeur-gautier,Pleumeur-Gautier,22740,22199,1100,18.99,-3.16667,48.8
laurenan,Laurenan,22230,22122,700,30.9,-2.53333,48.2
tregon,Trégon,22650,22357,200,6.12,-2.18333,48.5667
coadout,Coadout,22970,22040,500,9.73,-3.18333,48.5167
plussulien,Plussulien,22320,22244,500,22.49,-3.08333,48.2833
ploeuc-sur-lie,Plœuc-sur-Lié,22150,22203,3200,44.45,1.24222,48.3464
plouasne,Plouasne,22830,22208,1500,33.61,-2.0,48.3
plevin,Plévin,22340,22202,800,27.36,-3.5,48.2167
saint-carne,Saint-Carné,22100,22280,900,8.36,-2.06667,48.4167
erquy,Erquy,22430,22054,3800,26.46,-2.46667,48.6333
saint-gilles-pligeaux,Saint-Gilles-Pligeaux,22480,22294,300,19.45,-3.08333,48.3833
saint-julien-22,Saint-Julien,22940,22307,2000,5.69,-2.81667,48.45
ploezal,Ploëzal,22260,22204,1200,26.24,-3.2,48.7167
saint-maudez,Saint-Maudez,22980,22315,300,5.09,-2.18333,48.45
camlez,Camlez,22450,22028,800,11.66,-3.3,48.7833
pleudaniel,Pleudaniel,22740,22196,1000,18.42,-3.13333,48.7667
saint-quay-portrieux,Saint-Quay-Portrieux,22410,22325,3100,3.87,-2.83333,48.65
plouaret,Plouaret,22420,22207,2200,29.98,-3.46667,48.6167
saint-barnabe,Saint-Barnabé,22600,22275,1300,22.75,-2.7,48.1333
illifaut,Illifaut,22230,22083,700,26.71,-2.35,48.15
brehand,Bréhand,22510,22015,1400,24.95,-2.58333,48.4
lanrivain,Lanrivain,22480,22115,600,36.74,-3.21667,48.35
quintin,Quintin,22800,22262,2800,3.12,-2.91667,48.4
lannion,Lannion,22300,22113,19700,43.91,-3.46667,48.7333
plusquellec,Plusquellec,22160,22243,500,26.31,-3.48333,48.3833
pluzunet,Pluzunet,22140,22245,1000,22.87,-3.36667,48.65
vilde-guingalan,Vildé-Guingalan,22980,22388,1200,7.35,-2.15,48.4333
lanmerin,Lanmérin,22300,22110,500,4.15,-3.35,48.7333
quillio,Le Quillio,22460,22260,500,16.16,-2.88333,48.2333
peumerit-quintin,Peumerit-Quintin,22480,22169,200,14.8,-3.26667,48.3667
plouisy,Plouisy,22200,22223,1900,23.63,-3.2,48.5833
bourbriac,Bourbriac,22720,22013,2300,71.86,-3.18333,48.4833
brelidy,Brélidy,22140,22018,300,8.14,-3.21667,48.6667
treverec,Trévérec,22290,22378,200,4.33,-3.05,48.65
saint-connec,Saint-Connec,22530,22285,300,10.93,-2.91667,48.1833
treduder,Tréduder,22310,22350,200,4.8,-3.56667,48.65
magoar,Magoar,22480,22139,100,7.79,2.81306,48.3967
pontrieux,Pontrieux,22260,22250,1100,1.02,-3.16667,48.7
pleguien,Pléguien,22290,22177,1100,15.48,-2.95,48.6333
yffiniac,Yffiniac,22120,22389,4700,17.44,-2.675,48.4833
moncontour-22,Moncontour,22510,22153,900,0.48,-2.65,48.35
mûr-de-bretagne,Mûr-de-Bretagne,22530,22158,2100,29.8,-2.98333,48.2
trebeurden,Trébeurden,22560,22343,3700,13.4,-3.56667,48.7667
prat,Prat,22140,22254,1100,21.87,-3.3,48.6833
gurunhuel,Gurunhuel,22390,22072,400,19.58,-3.3,48.5167
île-de-brehat,Île-de-Bréhat,22870,22016,400,3.09,1.0,48.8462
saint-brandan,Saint-Brandan,22800,22277,2300,25.16,-2.86667,48.3833
calorguen,Calorguen,22100,22026,700,8.48,1.97111,48.4103
bouillie,La Bouillie,22240,22012,800,10.91,-2.43333,48.5667
trevron,Trévron,22100,22380,700,9.6,-2.06667,48.3833
tregrom,Trégrom,22420,22359,400,16.64,-3.4,48.6
trelivan,Trélivan,22100,22364,2400,11.1,-2.11667,48.4333
treveneuc,Tréveneuc,22410,22377,800,6.65,-2.86667,48.6667
corlay,Corlay,22320,22047,1000,13.8,-3.05,48.3167
pedernec,Pédernec,22540,22164,1900,27.05,-3.28333,48.6
saint-herve,Saint-Hervé,22460,22300,400,9.83,-2.83333,48.2833
tregonneau,Trégonneau,22200,22358,500,6.32,-3.16667,48.6167
tramain,Tramain,22640,22341,600,9.25,-2.4,48.4
plancoet,Plancoët,22130,22172,3100,11.49,-2.25,48.5333
saint-jacut-de-la-mer,Saint-Jacut-de-la-Mer,22750,22302,800,2.92,-2.18333,48.6
plesidy,Plésidy,22720,22189,700,25.79,-3.11667,48.45
duault,Duault,22160,22052,300,21.59,-3.43333,48.3667
allineuc,Allineuc,22460,22001,500,24.09,-2.86667,48.3167
sevignac,Sévignac,22250,22337,1100,43.25,-2.35,48.3333
pleumeur-bodou,Pleumeur-Bodou,22560,22198,4000,26.71,-3.51667,48.7667
treogan,Tréogan,22340,22373,100,7.1,-3.51667,48.1833
henansal,Hénansal,22400,22077,1100,29.0,-2.43333,48.55
plelan-le-petit,Plélan-le-Petit,22980,22180,1700,21.23,-2.23333,48.4333
trefumel,Tréfumel,22630,22352,300,5.81,-2.03333,48.3333
plelauff,Plélauff,22570,22181,700,25.51,-3.21667,48.2
brusvily,Brusvily,22100,22021,1000,11.83,-2.13333,48.3833
lescouet-gouarec,Lescouët-Gouarec,22570,22124,200,18.73,-3.25,48.1667
bobital,Bobital,22100,22008,1000,4.99,-2.1,48.4167
pludual,Pludual,22290,22236,700,9.27,-2.98333,48.6667
mael-pestivien,Maël-Pestivien,22160,22138,400,31.29,-3.3,48.3833
lanvellec,Lanvellec,22420,22119,500,18.92,-3.53333,48.6167
merzer,Le Merzer,22200,22150,900,12.63,-3.06667,48.5833
kerpert,Kerpert,22480,22092,300,21.0,-3.13333,48.3833
merleac,Merléac,22460,22149,500,30.03,-2.9,48.2833
plenee-jugon,Plénée-Jugon,22640,22185,2400,61.36,-2.4,48.3667
saint-judoce,Saint-Judoce,22630,22306,500,10.19,-1.95,48.3667
lanfains,Lanfains,22800,22099,1000,21.87,-2.91667,48.35
kerbors,Kerbors,22610,22085,300,6.88,-3.18333,48.8333
chatelaudren,Châtelaudren,22170,22038,1100,0.46,-2.98333,48.5333
saint-gilles-vieux-marche,Saint-Gilles-Vieux-Marché,22530,22295,300,21.95,1.02584,48.2431
saint-martin-des-pres,Saint-Martin-des-Prés,22320,22313,400,20.3,-2.95,48.3
collinee,Collinée,22330,22046,900,7.06,-2.51667,48.3
lanvallay,Lanvallay,22100,22118,3600,14.61,-2.03333,48.45
matignon,Matignon,22550,22143,1600,14.53,-2.3,48.6
plumaudan,Plumaudan,22350,22239,1100,17.83,-2.13333,48.35
treve,Trévé,22600,22376,1500,26.63,-2.8,48.2167
saint-vran,Saint-Vran,22230,22333,700,28.12,-2.43333,48.2333
jugon-les-lacs,Jugon-les-Lacs,22270,22084,1600,26.15,1.67778,48.4092
saint-lormel,Saint-Lormel,22130,22311,900,9.77,-2.23333,48.55
saint-guen,Saint-Guen,22530,22298,500,17.95,-2.93333,48.2167
gausson,Gausson,22150,22060,600,16.71,-2.75,48.3
landec,La Landec,22980,22097,700,7.59,-2.18333,48.4333
planguenoual,Planguenoual,22400,22173,1800,32.89,-2.58333,48.5333
canihuel,Canihuel,22480,22029,400,32.14,-3.1,48.3333
plestin-les-greves,Plestin-les-Grèves,22310,22194,3700,34.52,-3.63333,48.65
saint-jean-kerdaniel,Saint-Jean-Kerdaniel,22170,22304,600,11.12,-3.01667,48.5667
saint-nicolas-du-pelem,Saint-Nicolas-du-Pélem,22480,22321,1800,41.04,-3.16667,48.3167
plouguernevel,Plouguernével,22110,22220,1800,41.6,-3.25,48.25
ereac,Éréac,22250,22053,600,21.21,-2.35,48.2667
plumaugat,Plumaugat,22250,22240,1100,40.43,-2.25,48.25
tremel,Trémel,22310,22366,400,11.93,-3.61667,48.6
caouennec-lanvezeac,Caouënnec-Lanvézéac,22300,22030,800,7.07,2.62445,48.7037
dolo,Dolo,22270,22051,600,11.88,-2.33333,48.3833
plouer-sur-rance,Plouër-sur-Rance,22490,22213,3300,19.89,-2.0,48.5333
tredrez-locquemeau,Trédrez-Locquémeau,22300,22349,1400,10.65,-3.56667,48.7
ferriere-22,La Ferrière,22210,22058,500,15.64,-2.6,48.15
prenessaye,La Prénessaye,22210,22255,800,16.97,-2.65,48.1833
plestan,Plestan,22640,22193,1500,32.81,-2.45,48.4167
broons,Broons,22250,22020,2800,35.21,-2.26667,48.3167
langast,Langast,22150,22100,600,20.45,-2.66667,48.2833
saint-quay-perros,Saint-Quay-Perros,22700,22324,1500,4.72,-3.45,48.7833
malhoure,La Malhoure,22640,22140,500,5.02,-2.5,48.4
langueux,Langueux,22360,22106,7000,9.1,-2.71667,48.5
plevenon,Plévenon,22240,22201,700,13.73,-2.33333,48.6667
landebaeron,Landebaëron,22140,22095,200,6.44,-3.21667,48.6333
quiou,Le Quiou,22630,22263,300,5.06,-2.0,48.35
rospez,Rospez,22300,22265,1700,13.24,-3.38333,48.7333
treffrin,Treffrin,22340,22351,600,7.47,-3.51667,48.3
saint-donan,Saint-Donan,22800,22287,1400,22.92,-2.88333,48.4667
gouray,Le Gouray,22330,22066,1100,30.5,-2.5,48.3333
trelevern,Trélévern,22660,22363,1400,6.94,-3.36667,48.8167
pleubian,Pleubian,22610,22195,2500,20.1,-3.13333,48.85
minihy-treguier,Minihy-Tréguier,22220,22152,1100,12.07,-3.23333,48.7833
squiffiec,Squiffiec,22200,22338,700,10.8,-3.15,48.6333
languedias,Languédias,22980,22104,500,8.61,-2.21667,48.3833
langoat,Langoat,22450,22101,1100,18.5,-3.28333,48.75
loscouet-sur-meu,Loscouët-sur-Meu,22230,22133,700,22.26,-2.23333,48.1833
henon,Hénon,22150,22079,2100,40.87,-2.7,48.3833
saint-clet,Saint-Clet,22260,22283,800,14.46,-3.13333,48.6667
plourivo,Plourivo,22860,22233,2200,28.35,-3.06667,48.75
saint-cast-le-guildo,Saint-Cast-le-Guildo,22380,22282,3500,22.63,-2.26667,48.6333
saint-jacut-du-mene,Saint-Jacut-du-Mené,22330,22303,700,19.81,-2.48333,48.2833
tremeur,Trémeur,22250,22369,700,14.56,-2.26667,48.35
haut-corlay,Le Haut-Corlay,22320,22074,700,25.64,-3.05,48.3167
hemonstoir,Hémonstoir,22600,22075,700,14.03,-2.83333,48.1667
cheze-22,La Chèze,22210,22039,600,2.53,-2.65,48.1333
tredaniel,Trédaniel,22510,22346,1000,15.92,-2.61667,48.3667
morieux,Morieux,22400,22154,900,7.55,-2.6,48.5167
trebrivan,Trébrivan,22340,22344,700,22.96,-3.48333,48.3167
kerfot,Kerfot,22500,22086,600,5.71,-3.03333,48.7333
locarn,Locarn,22340,22128,500,32.36,-3.41667,48.3167
berhet,Berhet,22140,22006,200,3.23,-3.31667,48.7
plouvara,Plouvara,22170,22234,1100,22.19,-2.91667,48.5167
plounerin,Plounérin,22780,22227,700,25.89,-3.53333,48.5667
saint-gelven,Saint-Gelven,22570,22290,300,17.48,-3.1,48.2333
pouldouran,Pouldouran,22450,22253,200,1.02,-3.2,48.7667
lezardrieux,Lézardrieux,22740,22127,1600,11.91,-3.1,48.7667
caurel-22,Caurel,22530,22033,400,11.65,-3.03333,48.2167
saint-juvat,Saint-Juvat,22630,22308,600,17.41,-2.05,48.35
chapelle-blanche-22,La Chapelle-Blanche,22350,22036,200,7.92,-2.15,48.2667
quessoy,Quessoy,22120,22258,3400,29.23,-2.66667,48.4167
plaine-haute,Plaine-Haute,22800,22170,1300,15.29,-2.85,48.45
plouezec,Plouézec,22470,22214,3300,27.87,-2.98333,48.75
plouguenast,Plouguenast,22150,22219,1800,35.12,-2.71667,48.2833
pommerit-jaudy,Pommerit-Jaudy,22450,22247,1200,20.37,-3.23333,48.7333
tressignaux,Tressignaux,22290,22375,600,7.29,-2.98333,48.6167
coatascorn,Coatascorn,22140,22041,300,8.05,-3.25,48.6667
louannec,Louannec,22700,22134,2900,13.91,-3.41667,48.8
foeil,Le Fœil,22800,22059,1400,20.54,-2.91667,48.4333
plouha,Plouha,22580,22222,4600,39.97,-2.93333,48.6833
tregueux,Trégueux,22950,22360,7600,14.57,1.26195,48.4906
sainte-trephine,Sainte-Tréphine,22480,22331,200,12.52,-3.15,48.2667
graces,Grâces,22200,22067,2400,14.07,-3.18333,48.5667
dinan,Dinan,22100,22050,11000,4.11,-2.23639,48.4564
harmoye,La Harmoye,22320,22073,400,17.67,-2.96667,48.3333
saint-andre-des-eaux-22,Saint-André-des-Eaux,22630,22274,300,5.24,-2.01667,48.3667
troguery,Troguéry,22450,22383,300,3.61,-3.21667,48.75
plourac-h,Plourac'h,22160,22231,400,32.15,-3.55,48.4167
plourhan,Plourhan,22410,22232,1900,17.24,1.12834,48.6306
ploubalay,Ploubalay,22770,22209,2600,35.45,-2.15,48.5833
boqueho,Boqueho,22170,22011,1000,27.12,-2.96667,48.4833
coatreven,Coatréven,22450,22042,400,9.13,-3.33333,48.7667
cavan,Cavan,22140,22034,1400,16.4,-3.35,48.6667
langourla,Langourla,22330,22102,600,21.41,-2.41667,48.2833
saint-samson-sur-rance,Saint-Samson-sur-Rance,22100,22327,1500,6.27,-2.03333,48.5
bulat-pestivien,Bulat-Pestivien,22160,22023,500,31.23,-3.33333,48.4333
rostrenen,Rostrenen,22110,22266,3400,32.17,-3.31667,48.2333
vieux-bourg-22,Le Vieux-Bourg,22800,22386,700,25.13,-3.0,48.3833
ploubezre,Ploubezre,22300,22211,3100,31.14,-3.45,48.7
taden,Taden,22100,22339,2300,20.13,-2.01667,48.4833
rouillac-22,Rouillac,22250,22267,400,15.77,-2.36667,48.3167
aucaleuc,Aucaleuc,22100,22003,900,6.38,-2.13333,48.45
tremeloir,Tréméloir,22590,22367,700,4.69,-2.85,48.55
saint-pever,Saint-Péver,22720,22322,400,13.13,-3.1,48.4833
saint-mayeux,Saint-Mayeux,22320,22316,500,30.63,-3.0,48.25
saint-goueno,Saint-Gouéno,22330,22297,700,20.08,-2.58333,48.2667
hermitage-lorge,L'Hermitage-Lorge,22150,22080,800,37.82,-2.83333,48.3333
saint-maden,Saint-Maden,22350,22312,200,6.56,-2.08333,48.3333
vicomte-sur-rance,La Vicomté-sur-Rance,22690,22385,900,4.57,-1.98333,48.5
paule,Paule,22340,22163,700,37.56,-3.45,48.2333
henanbihen,Hénanbihen,22550,22076,1300,31.65,-2.36667,48.5667
guitte,Guitté,22350,22071,600,14.53,-2.1,48.3
plehedel,Pléhédel,22290,22178,1300,12.36,-3.0,48.7
saint-caradec,Saint-Caradec,22600,22279,1200,21.94,-2.85,48.2
saint-glen,Saint-Glen,22510,22296,600,11.51,-2.51667,48.3667
crehen,Créhen,22130,22049,1700,18.21,-2.21667,48.55
tremuson,Trémuson,22440,22372,1800,6.31,-2.85,48.5167
tregomeur,Trégomeur,22590,22356,900,10.37,-2.88333,48.5667
saint-denoual,Saint-Denoual,22400,22286,400,8.61,-2.4,48.5333
saint-nicodeme,Saint-Nicodème,22160,22320,200,16.94,2.66084,48.3425
treglamus,Tréglamus,22540,22354,1000,18.79,-3.28333,48.55
calanhel,Calanhel,22160,22024,300,14.32,-3.48333,48.4417
penvenan,Penvénan,22710,22166,2600,19.84,-3.36667,48.8333
trevou-treguignec,Trévou-Tréguignec,22660,22379,1400,6.52,-3.35,48.8167
pommerit-le-vicomte,Pommerit-le-Vicomte,22200,22248,1800,33.03,-3.08333,48.6167
saint-bihy,Saint-Bihy,22800,22276,200,8.22,-2.96667,48.3833
lamballe,Lamballe,22400,22093,11700,76.29,-2.51667,48.4667
plougrescant,Plougrescant,22820,22218,1300,15.54,-3.23333,48.85
saint-thelo,Saint-Thélo,22460,22330,400,14.56,-2.85,48.2333
merillac,Mérillac,22230,22148,200,13.86,-2.4,48.25
pledeliac,Plédéliac,22270,22175,1300,51.75,-2.38333,48.45
evran,Évran,22630,22056,1600,23.56,-1.98333,48.3833
tonquedec,Tonquédec,22140,22340,1100,18.01,-3.4,48.6667
treguier,Tréguier,22220,22362,2700,1.52,-3.23333,48.7833
grace-uzel,Grâce-Uzel,22460,22068,400,7.95,-2.8,48.25
plougonver,Plougonver,22810,22216,700,35.72,-3.38333,48.4833
ploulec-h,Ploulec'h,22300,22224,1600,10.15,2.49556,48.7181
plaintel,Plaintel,22940,22171,3800,26.76,-2.81667,48.4
saint-meloir-des-bois,Saint-Méloir-des-Bois,22980,22317,300,6.13,1.74917,48.4575
uzel,Uzel,22460,22384,1100,6.79,-2.85,48.2833
saint-igeaux,Saint-Igeaux,22570,22334,200,12.91,-3.1,48.2667
pledran,Plédran,22960,22176,5900,34.71,-2.75,48.45
saint-michel-de-plelan,Saint-Michel-de-Plélan,22980,22318,300,7.24,-2.21667,48.4667
faouet-22,Le Faouët,22290,22057,300,7.55,2.92611,48.6831
leslay,Le Leslay,22800,22126,100,5.01,-2.96667,48.4333
saint-gilles-les-bois,Saint-Gilles-les-Bois,22290,22293,400,9.45,-3.1,48.65
saint-agathon,Saint-Agathon,22200,22272,2000,14.56,-3.1,48.5667
motte-22,La Motte,22600,22155,2000,43.03,-2.75,48.2333
penguily,Penguily,22510,22165,600,10.49,-2.5,48.3667
saint-carreuc,Saint-Carreuc,22150,22281,1500,12.69,-2.73333,48.4
hillion,Hillion,22120,22081,4100,24.76,-2.68333,48.5167
lanmodez,Lanmodez,22610,22111,400,4.15,-3.1,48.85
guenroc,Guenroc,22350,22069,200,7.39,-2.08333,48.3167
lanrelas,Lanrelas,22250,22114,900,29.4,-2.3,48.25
bodeo,Le Bodéo,22320,22009,200,9.97,-2.93333,48.3167
pommeret,Pommeret,22120,22246,1900,13.35,-2.63333,48.4667
cohiniac,Cohiniac,22800,22045,400,12.26,-2.95,48.4667
plessix-balisson,Plessix-Balisson,22650,22192,100,0.08,-2.15,48.5333
tremereuc,Tréméreuc,22490,22368,600,4.15,-2.06667,48.55
ploumilliau,Ploumilliau,22300,22226,2500,34.69,-3.51667,48.6833
plerin,Plérin,22190,22187,13500,27.72,-2.78333,48.5333
saint-gilles-du-mene,Saint-Gilles-du-Mené,22330,22292,500,12.92,-2.55,48.25
pleneuf-val-andre,Pléneuf-Val-André,22370,22186,3900,17.07,-2.55,48.6
saint-trimoel,Saint-Trimoël,22510,22332,400,8.35,-2.55,48.3833
saint-servais-22,Saint-Servais,22160,22328,400,28.04,2.61223,48.387
